股票代码,股票简称,个股热度[20251224],个股热度排名[20251224],market_code,code,最新价,最新涨跌幅
002931.SZ,锋龙股份,1466801.5,1,33,002931,,
000547.SZ,航天发展,842839.5,2,33,000547,24.93,9.34210526315789
600693.SH,东百集团,724946.5,3,17,600693,21.45,9.999999999999996
002361.SZ,神剑股份,686333.0,4,33,002361,10.88,10.010111223458042
603601.SH,再升科技,546788.5,5,17,603601,11.03,9.970089730807578
000592.SZ,平潭发展,510406.5,6,33,000592,13.49,3.0557677616501175
002703.SZ,浙江世宝,472748.5,7,33,002703,20.42,10.021551724137947
600118.SH,中国卫星,443429.5,8,17,600118,66.12,9.998336383297296
600105.SH,永鼎股份,431806.0,9,17,600105,23.34,9.990574929311975
002163.SZ,海南发展,420921.0,10,33,002163,19.35,10.00568504832292
002201.SZ,九鼎新材,410955.5,11,33,002201,10.29,10.053475935828871
001331.SZ,胜通能源,407757.0,12,33,001331,34.79,9.990515333544105
002149.SZ,西部材料,400502.5,13,33,002149,42.0,8.471074380165293
600343.SH,航天动力,392979.0,14,17,600343,41.8,9.999999999999993
002759.SZ,天际股份,386200.5,15,33,002759,42.12,10.002611647949852
601933.SH,永辉超市,351243.5,16,17,601933,5.48,0.5504587155963349
000796.SZ,凯撒旅业,319855.0,17,33,000796,7.84,9.957924263674615
002837.SZ,英维克,317586.5,18,33,002837,111.17,7.058936825885976
000551.SZ,创元科技,301056.0,19,33,000551,15.16,10.0145137880987
002471.SZ,中超控股,297574.0,20,33,002471,5.49,10.02004008016032
002792.SZ,通宇通讯,296015.5,21,33,002792,34.71,6.309341500765704
603696.SH,安记食品,293593.5,22,17,603696,26.88,9.983633387888696
600330.SH,天通股份,292238.0,23,17,600330,13.04,10.042194092827
002639.SZ,雪人集团,285315.0,24,33,002639,19.43,2.317008952080049
603778.SH,国晟科技,279455.5,25,17,603778,14.97,7.930785868781554
600103.SH,青山纸业,279215.0,26,17,600103,4.31,9.948979591836727
002969.SZ,嘉美包装,266608.5,27,33,002969,8.09,10.068027210884358
002228.SZ,合兴包装,263492.5,28,33,002228,5.95,9.981515711645102
600865.SH,百大集团,262915.0,29,17,600865,19.73,7.403375068045723
301005.SZ,超捷股份,249398.0,30,33,301005,112.44,19.999999999999993
002788.SZ,鹭燕医药,235946.0,31,33,002788,19.65,6.216216216216209
600179.SH,安通控股,232231.0,32,17,600179,5.41,9.95934959349594
002383.SZ,合众思壮,229747.0,33,33,002383,11.37,9.96131528046421
601208.SH,东材科技,227681.5,34,17,601208,29.03,9.012392039053708
601138.SH,工业富联,224798.0,35,17,601138,65.14,3.627107858733696
