股票代码,股票简称,最新价,最新涨跌幅,涨停[20260210],首次涨停时间[20260210],最终涨停时间[20260210],涨停明细数据[20260210],连续涨停天数[20260210],涨停原因类别[20260210],涨停封单量[20260210],涨停封单额[20260210],涨停封单量占成交量比[20260210],涨停封单量占流通a股比[20260210],涨停开板次数[20260210],a股市值(不含限售股)[20260210],几天几板[20260210],涨停类型[20260210],market_code,code
000056.SZ,皇庭国际,2.41,10.045662100456632,涨停, 09:38:30, 13:27:08,"[{""code"":""000056.SZ"",""time"":1770687510091,""openTime"":1770687525091,""duration"":15000,""updatedTime"":1770687525091,""firstVol"":1.29907204E8,""highestVol"":1.29907204E8,""firstVolDivLTGB"":0.14374614361355703,""firstVolDivVol"":1.181966402061599,""highestVolDivLTGB"":0.14374614361355703,""highestVolDivVol"":1.181966402061599},{""code"":""000056.SZ"",""time"":1770687840093,""openTime"":1770688680183,""duration"":840090,""updatedTime"":1770688680183,""firstVol"":9.4531284E7,""highestVol"":9.4531284E7,""firstVolDivLTGB"":0.10460164723303526,""firstVolDivVol"":0.5484496369594686,""highestVolDivLTGB"":0.10460164723303526,""highestVolDivVol"":0.5484496369594686},{""code"":""000056.SZ"",""time"":1770688695183,""openTime"":1770688710184,""duration"":15001,""updatedTime"":1770688710184,""firstVol"":479000.0,""highestVol"":479000.0,""firstVolDivLTGB"":5.300275940885759E-4,""firstVolDivVol"":0.0025219337155791585,""highestVolDivLTGB"":5.300275940885759E-4,""highestVolDivVol"":0.0025219337155791585},{""code"":""000056.SZ"",""time"":1770688725184,""openTime"":1770688755184,""duration"":30000,""updatedTime"":1770688755184,""firstVol"":1353600.0,""highestVol"":1353600.0,""firstVolDivLTGB"":0.0014977982283054204,""firstVolDivVol"":0.0070682995329784,""highestVolDivLTGB"":0.0014977982283054204,""highestVolDivVol"":0.0070682995329784},{""code"":""000056.SZ"",""time"":1770690225259,""openTime"":1770699608268,""duration"":3966473,""updatedTime"":1770699608268,""firstVol"":996000.0,""highestVol"":1.59639E7,""firstVolDivLTGB"":0.0011021033062885628,""firstVolDivVol"":0.004030184463080496,""highestVolDivLTGB"":0.017664525071546172,""highestVolDivVol"":0.06427369007011569},{""code"":""000056.SZ"",""time"":1770700508275,""openTime"":1770700538275,""duration"":30000,""updatedTime"":1770700538275,""firstVol"":375997.0,""highestVol"":509097.0,""firstVolDivLTGB"":4.1605174382990036E-4,""firstVolDivVol"":0.0014087087444082528,""highestVolDivLTGB"":5.633308101622374E-4,""highestVolDivVol"":0.0019070833974993947},{""code"":""000056.SZ"",""time"":1770700568275,""openTime"":1770700583275,""duration"":15000,""updatedTime"":1770700583275,""firstVol"":108800.0,""highestVol"":108800.0,""firstVolDivLTGB"":1.203904013295137E-4,""firstVolDivVol"":4.022345162540269E-4,""highestVolDivLTGB"":1.203904013295137E-4,""highestVolDivVol"":4.022345162540269E-4},{""code"":""000056.SZ"",""time"":1770700613275,""openTime"":1770700778277,""duration"":165002,""updatedTime"":1770700778277,""firstVol"":42300.0,""highestVol"":986400.0,""firstVolDivLTGB"":4.680619463454439E-5,""firstVolDivVol"":1.5611190854484622E-4,""highestVolDivLTGB"":0.0010914806238183116,""highestVolDivVol"":0.0036360302732695708},{""code"":""000056.SZ"",""time"":1770700868278,""openTime"":1770700988280,""duration"":120002,""updatedTime"":1770700988280,""firstVol"":58100.0,""highestVol"":379100.0,""firstVolDivLTGB"":6.42893595334995E-5,""firstVolDivVol"":2.13225430255705E-4,""highestVolDivLTGB"":4.1948530463252427E-4,""highestVolDivVol"":0.0013907993067795467},{""code"":""000056.SZ"",""time"":1770701228282,""openTime"":null,""duration"":5571718,""updatedTime"":1770706800000,""firstVol"":221100.0,""highestVol"":4570700.0,""firstVolDivLTGB"":2.4465365564297313E-4,""firstVolDivVol"":8.05069806033523E-4,""highestVolDivLTGB"":0.005057614038205958,""highestVolDivVol"":0.016286738385993385}]",1,零售+功率半导体+固态电池,3724500,8976045.0,1.3244311551297732,0.4121268839630273,9,2177980944.53,4天3板,放量涨停,33,000056
000070.SZ,特发信息,16.12,10.034129692832769,涨停, 09:30:45, 09:30:45,"[{""code"":""000070.SZ"",""time"":1770687045090,""openTime"":null,""duration"":14338374,""updatedTime"":1770706800000,""firstVol"":2.642656E7,""highestVol"":5.8088275E7,""firstVolDivLTGB"":0.02973690657826074,""firstVolDivVol"":1.5260910358171047,""highestVolDivLTGB"":0.06536475451089051,""highestVolDivVol"":2.5909493031303557}]",1,CPO+光纤光缆+商业航天+深圳国资,15603976,251536093.12,40.12337674476466,1.7558621953119236,0,14325503094.24,首板涨停,缩量涨停,33,000070
000156.SZ,华数传媒,9.83,9.955257270693519,涨停, 09:33:15, 09:59:45,"[{""code"":""000156.SZ"",""time"":1770687195090,""openTime"":1770687900095,""duration"":705005,""updatedTime"":1770687900095,""firstVol"":8.7160852E7,""highestVol"":9.4986418E7,""firstVolDivLTGB"":0.05127483316830432,""firstVolDivVol"":5.357201370289385,""highestVolDivLTGB"":0.055878443411783295,""highestVolDivVol"":5.41279969401342},{""code"":""000156.SZ"",""time"":1770688785216,""openTime"":null,""duration"":12598248,""updatedTime"":1770706800000,""firstVol"":7.8464219E7,""highestVol"":7.8464219E7,""firstVolDivLTGB"":0.046158793157578294,""firstVolDivVol"":1.098730836677612,""highestVolDivLTGB"":0.046158793157578294,""highestVolDivVol"":1.098730836677612}]",1,AI应用+数字电视+低空经济+杭州国资,10057087,98861165.21,11.40307107207284,0.5916365504138512,1,16709779870.91,首板涨停,放量涨停,33,000156
000559.SZ,万向钱潮,19.53,10.028169014084513,涨停, 13:44:12, 13:44:12,"[{""code"":""000559.SZ"",""time"":1770702252647,""openTime"":null,""duration"":4547353,""updatedTime"":1770706800000,""firstVol"":1.20228214E8,""highestVol"":1.4317863E8,""firstVolDivLTGB"":0.03627292509545628,""firstVolDivVol"":0.6134640599780113,""highestVolDivLTGB"":0.043197079524611826,""highestVolDivVol"":0.7061992238738066}]",1,人形机器人+机器人轴承+汽车零部件,10554052,206120635.56,4.595264114703915,0.3184163890595185,0,64733048499.42,首板涨停,放量涨停,33,000559
000608.SZ,*ST阳光,3.78,4.999999999999992,涨停, 10:04:00, 15:00:00,"[{""code"":""000608.SZ"",""time"":1770689040249,""openTime"":1770689460253,""duration"":420004,""updatedTime"":1770689460253,""firstVol"":6817600.0,""highestVol"":6817600.0,""firstVolDivLTGB"":0.00914589206917154,""firstVolDivVol"":0.44414407477172274,""highestVolDivLTGB"":0.00914589206917154,""highestVolDivVol"":0.44414407477172274},{""code"":""000608.SZ"",""time"":1770689625255,""openTime"":1770689685255,""duration"":60000,""updatedTime"":1770689685255,""firstVol"":3737840.0,""highestVol"":3737840.0,""firstVolDivLTGB"":0.005014357136211005,""firstVolDivVol"":0.18282725645540393,""highestVolDivLTGB"":0.005014357136211005,""highestVolDivVol"":0.18282725645540393},{""code"":""000608.SZ"",""time"":1770689730255,""openTime"":1770703902659,""duration"":8755868,""updatedTime"":1770703902659,""firstVol"":4314139.0,""highestVol"":4696739.0,""firstVolDivLTGB"":0.005787469148293188,""firstVolDivVol"":0.2039597360333568,""highestVolDivLTGB"":0.006300731631522628,""highestVolDivVol"":0.22204793277582668},{""code"":""000608.SZ"",""time"":1770704127661,""openTime"":1770704262663,""duration"":135002,""updatedTime"":1770704262663,""firstVol"":934579.0,""highestVol"":1143179.0,""firstVolDivLTGB"":0.0012537489239782722,""firstVolDivVol"":0.03599896384133676,""highestVolDivLTGB"":0.001533588322832588,""highestVolDivVol"":0.0440228166532687},{""code"":""000608.SZ"",""time"":1770704277663,""openTime"":1770704323390,""duration"":45727,""updatedTime"":1770704323390,""firstVol"":350700.0,""highestVol"":788400.0,""firstVolDivLTGB"":4.7046825109400066E-4,""firstVolDivVol"":0.013074368626734605,""highestVolDivLTGB"":0.0010576480443755636,""highestVolDivVol"":0.02938559177919061},{""code"":""000608.SZ"",""time"":1770704474351,""openTime"":1770704489351,""duration"":15000,""updatedTime"":1770704489351,""firstVol"":79100.0,""highestVol"":79100.0,""firstVolDivLTGB"":1.0611359755213987E-4,""firstVolDivVol"":0.002815239664627012,""highestVolDivLTGB"":1.0611359755213987E-4,""highestVolDivVol"":0.002815239664627012},{""code"":""000608.SZ"",""time"":1770706445119,""openTime"":1770706460119,""duration"":15000,""updatedTime"":1770706460119,""firstVol"":26600.0,""highestVol"":26600.0,""firstVolDivLTGB"":3.5684218645852345E-5,""firstVolDivVol"":8.03944137850911E-4,""highestVolDivLTGB"":3.5684218645852345E-5,""highestVolDivVol"":8.03944137850911E-4},{""code"":""000608.SZ"",""time"":1770706800000,""openTime"":null,""duration"":0,""updatedTime"":1770706800000,""firstVol"":170300.0,""highestVol"":170300.0,""firstVolDivLTGB"":2.2845949005220506E-4,""firstVolDivVol"":0.004961792160869518,""highestVolDivLTGB"":2.2845949005220506E-4,""highestVolDivVol"":0.004961792160869518}]",1,摘星脱帽预期+控制权变更+商业地产,170300,643734.0,0.49617921608695176,0.022845949005220505,7,2817716173.02,首板涨停,放量涨停,33,000608
000609.SZ,ST中迪,9.07,4.9768518518518485,涨停, 09:30:00, 09:30:00,"[{""code"":""000609.SZ"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":1.52038E7,""highestVol"":1.52038E7,""firstVolDivLTGB"":0.05223627521570663,""firstVolDivVol"":282.5985130111524,""highestVolDivLTGB"":0.05223627521570663,""highestVolDivVol"":282.5985130111524}]",4,司法拍卖+房地产+创投,7416800,67270376.0,3055.9538524927893,2.5482182482001408,0,2639898527.04,4天4板,一字涨停||缩量涨停,33,000609
000638.SZ,*ST万方,1.9,4.972375690607727,涨停, 09:32:15, 09:45:30,"[{""code"":""000638.SZ"",""time"":1770687135090,""openTime"":1770687690092,""duration"":555002,""updatedTime"":1770687690092,""firstVol"":920900.0,""highestVol"":5767000.0,""firstVolDivLTGB"":0.0029692505617708244,""firstVolDivVol"":0.026058747322144662,""highestVolDivLTGB"":0.018594492333296065,""highestVolDivVol"":0.1573323891025591},{""code"":""000638.SZ"",""time"":1770687795092,""openTime"":1770687825093,""duration"":30001,""updatedTime"":1770687825093,""firstVol"":178000.0,""highestVol"":269800.0,""firstVolDivLTGB"":5.73923987398422E-4,""firstVolDivVol"":0.003832068510323625,""highestVolDivLTGB"":8.699139988769339E-4,""highestVolDivVol"":0.005783108688426317},{""code"":""000638.SZ"",""time"":1770687930095,""openTime"":null,""duration"":13453369,""updatedTime"":1770706800000,""firstVol"":182800.0,""highestVol"":4617600.0,""firstVolDivLTGB"":5.894005893057951E-4,""firstVolDivVol"":0.0037339950157703073,""highestVolDivLTGB"":0.014888491034892995,""highestVolDivVol"":0.08200128745004712}]",1,军工+退市风险+粮食,4564100,8671790.0,8.07981049187849,1.4715991409467066,2,589276641.9,首板涨停,地天板涨停||放量涨停,33,000638
000669.SZ,ST金鸿,3.23,4.870129870129867,涨停, 09:30:00, 09:30:00,"[{""code"":""000669.SZ"",""time"":1770687000000,""openTime"":null,""duration"":14383464,""updatedTime"":1770706800000,""firstVol"":4.88936E7,""highestVol"":4.88936E7,""firstVolDivLTGB"":0.07185915322608623,""firstVolDivVol"":27.750496622963844,""highestVolDivLTGB"":0.07185915322608623,""highestVolDivVol"":27.750496622963844}]",1,预重整+天然气+扭亏,19605060,63324343.8,210.93093364491412,2.8813648627767523,0,2197720414.31,首板涨停,一字涨停||缩量涨停,33,000669
000681.SZ,视觉中国,30.49,9.99278499278499,涨停, 11:22:08, 11:22:08,"[{""code"":""000681.SZ"",""time"":1770693728231,""openTime"":null,""duration"":7655233,""updatedTime"":1770706800000,""firstVol"":6.5981272E7,""highestVol"":6.7030262E7,""firstVolDivLTGB"":0.0975674090962211,""firstVolDivVol"":0.49008337124510937,""highestVolDivLTGB"":0.09911856495250476,""highestVolDivVol"":0.49702536339508147}]",1,AI数据+版权交易+MiniMax上市,6936158,211483457.42,4.840377937256006,1.0256591675620117,0,20619272377.07,首板涨停,放量涨停,33,000681
000815.SZ,美利云,15.53,9.985835694050992,涨停, 09:49:00, 13:12:23,"[{""code"":""000815.SZ"",""time"":1770688140144,""openTime"":1770688245177,""duration"":105033,""updatedTime"":1770688245177,""firstVol"":7.44292E7,""highestVol"":7.9479E7,""firstVolDivLTGB"":0.10705185843800828,""firstVolDivVol"":2.6763091060571247,""highestVolDivLTGB"":0.11431500885129037,""highestVolDivVol"":2.636916162727776},{""code"":""000815.SZ"",""time"":1770688260177,""openTime"":1770688740184,""duration"":480007,""updatedTime"":1770688740184,""firstVol"":3.78392E7,""highestVol"":4.49345E7,""firstVolDivLTGB"":0.0544242942528938,""firstVolDivVol"":0.8630875209321396,""highestVolDivLTGB"":0.0646294966623675,""highestVolDivVol"":0.9586298252887037},{""code"":""000815.SZ"",""time"":1770688755184,""openTime"":1770688770184,""duration"":15000,""updatedTime"":1770688770184,""firstVol"":5.1547919E7,""highestVol"":5.1547919E7,""firstVolDivLTGB"":0.07414160742775575,""firstVolDivVol"":0.8570238047597349,""highestVolDivLTGB"":0.07414160742775575,""highestVolDivVol"":0.8570238047597349},{""code"":""000815.SZ"",""time"":1770688785216,""openTime"":1770699638268,""duration"":5436516,""updatedTime"":1770699638268,""firstVol"":5.31129E7,""highestVol"":5.85414E7,""firstVolDivLTGB"":0.07639252675068509,""firstVolDivVol"":0.8256679255381157,""highestVolDivLTGB"":0.0842003631043034,""highestVolDivVol"":0.8933950217966232},{""code"":""000815.SZ"",""time"":1770699923271,""openTime"":1770700328275,""duration"":405004,""updatedTime"":1770700328275,""firstVol"":2.1076066E7,""highestVol"":2.65868E7,""firstVolDivLTGB"":0.03031380202745857,""firstVolDivVol"":0.21442191418470383,""highestVolDivLTGB"":0.038239915919016175,""highestVolDivVol"":0.26963042292144584},{""code"":""000815.SZ"",""time"":1770700343275,""openTime"":null,""duration"":6456725,""updatedTime"":1770706800000,""firstVol"":1.64375E7,""highestVol"":2.24104E7,""firstVolDivLTGB"":0.023642131355365383,""firstVolDivVol"":0.15320443562608257,""highestVolDivLTGB"":0.0322329807164277,""highestVolDivVol"":0.20836459676266145}]",1,东数西算+扭亏为盈+央企,5780100,89764953.0,5.032519789214553,0.8313544240130644,5,10797434933.55,首板涨停,放量涨停,33,000815
